시도,시군구,총인구,면적,인구밀도,인구증가율,고령,생산가능,유소년,고령인구비율,합계출산율,출생아수,합계출산율_2013
경기,의정부시,463724.0,81.54872,5692.462244376,0.11,82104.0,331946.0,50163.0,17.70535922229602,0.703,2106.0,1.08
경기,이천시,222721.0,461.46493,481.2890153554,-0.28,36905.0,158914.0,26279.0,16.57005850368847,0.851,1160.0,1.367
경기,파주시,495315.0,673.95543,738.5547732414,0.49,78257.0,352436.0,67060.0,15.799440759920454,0.756,2428.0,1.415
경기,평택시,578529.0,458.44842,1289.1788400547,2.16,77785.0,435402.0,77835.0,13.445306976832622,0.92,3628.0,1.409
경기,포천시,146701.0,827.16574,173.2699896222,-2.3,34863.0,96830.0,11630.0,23.764664180884928,0.783,506.0,1.233
경기,하남시,326059.0,92.98535,3547.4514217706,1.17,47583.0,233890.0,48388.0,14.59337113835226,0.788,2021.0,1.057
경기,화성시,910814.0,700.6415,1347.8248100212,3.68,97343.0,691787.0,155212.0,10.687472963744518,0.976,6714.0,1.542
경남,거제시,236662.0,403.8752,579.4809827342,-1.11,33622.0,166209.0,34207.0,14.206759006515622,0.717,816.0,1.794
경남,거창군,60387.0,803.95658,74.6893568778,-0.56,18536.0,36022.0,5489.0,30.695348336562507,1.02,211.0,1.35
경남,고성군,50448.0,518.02286,95.4938556566,-1.94,17491.0,28417.0,3560.0,34.671344751030766,0.619,85.0,1.422
경남,김해시,535129.0,463.54585,1151.2539613627,-0.27,74830.0,389242.0,69587.0,13.983544154773895,0.838,2513.0,1.397
경남,남해군,41579.0,357.78091,113.9803672943,-1.92,16889.0,21335.0,2556.0,40.61906250751581,0.661,69.0,0.933
경남,밀양시,102945.0,798.69499,127.8134980694,-0.84,33742.0,60441.0,7901.0,32.77672543591238,0.741,264.0,1.062
경남,사천시,109369.0,398.82382,273.3788602184,-0.31,27114.0,70269.0,11647.0,24.79130283718421,0.909,399.0,1.446
경남,산청군,34028.0,794.71247,42.4707061774,-0.81,13847.0,18075.0,1830.0,40.69295873986129,0.764,62.0,1.603
경남,양산시,353792.0,485.70304,731.150456491,0.38,59643.0,248039.0,47440.0,16.858210473950795,0.806,1682.0,1.367
경남,의령군,26061.0,482.91421,52.7526413248,-2.25,10479.0,13500.0,1496.0,40.20950846091861,0.746,53.0,1.298
경남,진주시,343782.0,712.93942,478.4053025817,-0.79,67312.0,233376.0,40386.0,19.579850021234385,0.887,1666.0,1.219
경남,창녕군,58372.0,532.66619,107.1646760207,-2.21,20640.0,32401.0,4042.0,35.35941889947235,0.81,138.0,1.411
경남,창원시,1021487.0,749.22751,1346.7711561543,-1.22,180319.0,712209.0,116510.0,17.652598613589795,0.774,4377.0,1.326
경남,통영시,122681.0,239.91476,502.4743023654,-1.74,28780.0,78657.0,13114.0,23.45921536342221,0.711,343.0,1.324
경남,하동군,42465.0,675.30116,61.6110302143,-2.02,16518.0,22637.0,2451.0,38.89791593076652,0.868,90.0,1.073
경남,함안군,61456.0,416.61219,144.5060934781,-2.04,17961.0,36684.0,5558.0,29.225787555324136,0.728,145.0,1.46
경남,함양군,37708.0,724.72542,50.9779276059,-2.02,14001.0,20336.0,2608.0,37.13005197836003,0.734,78.0,1.444
경남,합천군,42142.0,983.1184,41.910516615,-2.23,17922.0,21089.0,2192.0,42.52764463006027,0.636,58.0,1.23
경북,경산시,267725.0,411.87844,646.3193398079,-0.57,51977.0,185927.0,28301.0,19.41432440003735,0.807,1179.0,1.422
경북,경주시,249607.0,1324.94841,186.7914235159,-0.85,64296.0,160172.0,23021.0,25.75889297976419,0.909,981.0,1.214
경북,고령군,30353.0,384.24416,78.4371061175,-0.71,10862.0,17401.0,1876.0,35.78558956281093,1.038,89.0,1.474
경북,구미시,408110.0,615.47986,658.8452754436,-0.64,48298.0,301938.0,55270.0,11.83455440935042,0.71,1861.0,1.368
경북,군위군,23340.0,614.33495,37.4193266408,-1.51,10311.0,11724.0,953.0,44.17737789203085,,,1.199
경북,김천시,139324.0,1010.05441,136.1461314779,-1.3,35830.0,87182.0,14503.0,25.717033676897017,1.062,675.0,1.362
경북,문경시,70373.0,912.05417,75.3847771088,-2.3,23386.0,39720.0,5649.0,33.23149503360664,0.917,214.0,1.565
경북,봉화군,30139.0,1202.70045,24.6137763658,-1.78,12232.0,15615.0,1756.0,40.58528816483626,0.915,59.0,1.578
경북,상주시,94823.0,1254.70615,74.8047657958,-1.02,32749.0,53516.0,7593.0,34.536979424823095,0.978,292.0,1.326
경북,성주군,42566.0,616.15199,68.3045757258,-1.13,15405.0,24159.0,2522.0,36.19085655217779,1.169,147.0,1.449
경북,안동시,154610.0,1522.27174,100.4649799577,-1.08,42408.0,95692.0,14835.0,27.429014940818835,0.887,600.0,1.551
경북,영덕군,34650.0,741.28161,45.9407054508,-1.72,14211.0,17717.0,2127.0,41.01298701298701,0.864,81.0,1.32
경북,영양군,16022.0,815.86546,19.195566924,-2.25,6486.0,8249.0,926.0,40.48183747347397,0.755,30.0,1.666
경북,영주시,100749.0,670.16675,149.5135344253,-0.55,30454.0,60773.0,8972.0,30.227595311119718,0.863,302.0,1.289
경북,영천시,101088.0,919.22637,109.0177607499,-0.87,31782.0,60450.0,7980.0,31.439933523266856,1.189,465.0,1.423
경북,예천군,55755.0,661.58058,83.6254898715,-0.77,17898.0,30838.0,6589.0,32.10115684691956,1.184,282.0,1.34
경북,울릉군,8996.0,73.03353,124.2853872637,0.9,2629.0,5916.0,532.0,29.224099599822143,0.789,26.0,1.011
경북,울진군,47030.0,990.63298,47.1102828248,-0.77,14583.0,28128.0,3958.0,31.007867318732725,1.053,176.0,1.479
경북,의성군,50186.0,1174.59431,42.6411057223,-0.2,22723.0,24779.0,2584.0,45.27756744908939,1.406,177.0,1.371
경북,청도군,41614.0,695.36305,59.4164445052,-0.72,17342.0,21768.0,2206.0,41.67347527274475,0.909,97.0,0.948
경북,청송군,24295.0,846.13399,28.3867569961,-1.14,10043.0,12629.0,1347.0,41.33772381148385,1.334,77.0,1.468
경북,칠곡군,112487.0,451.04787,245.1646657143,-1.69,20840.0,77338.0,12403.0,18.526585294300677,0.646,336.0,1.435
경북,포항시,496650.0,1130.7211,436.0341375527,-0.73,104052.0,333080.0,55901.0,20.950770160072487,0.848,2040.0,1.378
광주,광산구,400654.0,222.69016,1781.5829794765,-0.98,44353.0,296329.0,56059.0,11.070150304252548,0.774,1917.0,1.465
광주,남구,212379.0,60.96142,3438.9947799525,-1.29,42485.0,140832.0,26329.0,20.004331878387223,0.694,831.0,0.96
광주,동구,105909.0,49.31727,2173.1942988064,1.2,24239.0,71764.0,11173.0,22.886629087235267,0.775,541.0,1.17
광주,북구,424707.0,120.26069,3506.4075021001,-0.71,74406.0,298770.0,48507.0,17.51937217893748,0.708,1856.0,1.082
광주,서구,287401.0,47.74271,5948.3632736756,-1.19,48395.0,204860.0,30736.0,16.838841896861876,0.588,1027.0,1.095
대구,남구,141519.0,17.42984,7985.5574589451,-1.65,36561.0,93127.0,9499.0,25.83469357471435,0.563,453.0,0.889
대구,달서구,536989.0,62.37126,8461.9256035766,-1.71,93762.0,377689.0,56330.0,17.460692863354744,0.684,2003.0,1.187
대구,달성군,263162.0,428.36234,611.8278258155,-0.41,40217.0,182449.0,39418.0,15.28222159734308,1.025,1712.0,1.476
대구,동구,339530.0,182.11271,1882.4221466698,0.97,76756.0,230737.0,35320.0,22.60654434070627,0.727,1472.0,1.195
